;name;N;trackNumber;field;A;P;E;G
0;f10CF;10;10;CF;0.551949763430235;0.0019481078244584199;0.024611474014680047;0.42149065473062636
0;f10CF;10;10;CF;0.5000550566268616;0.001682449528550363;0.026259494369652976;0.4720029994749352
0;f20CF;20;20;CF;0.6340779591593677;0.001165030138829492;0.023003736112689504;0.3417532745891133
0;f20CF;20;20;CF;0.9608004520090155;0.0001224094621474512;0.006023993206835167;0.03305314532200189
